Date,Product,lower_bound_demand,real_demand,upper_bound_demand,exceptions,Confidence
2022-10-03,dog-blue-harness,1727.3375787224054,1564.0,2015.049422777141,outside_interval,
2022-10-03,small-dog-apparel,1332.1292603884356,1651.0,1602.2583446369608,outside_interval,
2022-10-04,dog-blue-harness,1753.3052758021345,1737.0,2049.0810858879463,outside_interval,
2022-10-04,dog-safety-vest,1727.4320397895565,1667.0,2038.4239294660056,outside_interval,
2022-10-06,small-dog-apparel,1463.0739900952042,1414.0,1735.5385206012045,outside_interval,
2022-10-09,dog-blue-harness,1676.1744202935463,1527.0,1981.9817341101173,outside_interval,
2022-10-09,small-dog-apparel,1293.9455290448982,1600.0,1586.9249430316297,outside_interval,
2022-10-10,large-dog-apparel,1192.7096371998505,1089.0,1484.473609393665,outside_interval,
2022-10-11,small-dog-apparel,1377.8433529006684,1654.0,1652.8962174679568,outside_interval,
2022-10-12,large-dog-apparel,1243.7202985174154,1588.0,1547.4935327017618,outside_interval,
2022-10-12,small-dog-apparel,1489.4691756089203,1790.0,1761.009558515833,outside_interval,
2022-10-15,dog-blue-harness,1658.6109627964745,1583.0,1949.4845012243657,outside_interval,
2022-10-15,large-dog-apparel,1147.7427356378787,1107.0,1424.8284367308745,outside_interval,
2022-10-17,dog-blue-harness,1750.2851492687191,1747.0,2047.1012317062712,outside_interval,
2022-10-17,large-dog-apparel,1197.792715516767,1162.0,1493.6425637398577,outside_interval,
2022-10-19,dog-blue-harness,1793.5655397995542,1738.0,2090.9257182001043,outside_interval,
2022-10-19,dog-safety-vest,1680.4359394248174,1983.0,1969.251686188272,outside_interval,
2022-10-21,dog-blue-harness,1644.1402937083965,1607.0,1949.116327500931,outside_interval,
2022-10-22,dog-blue-harness,1623.562079922449,1517.0,1923.346427886738,outside_interval,
2022-10-22,dog-safety-vest,1513.2165745994048,1883.0,1821.541344112292,outside_interval,
2022-10-23,dog-safety-vest,1536.5875546976902,1845.0,1830.0426795556875,outside_interval,
2022-10-23,small-dog-apparel,1279.0892233717798,1596.0,1552.6835227687009,outside_interval,
2022-10-24,large-dog-apparel,1218.2650375693322,1156.0,1500.9864098341875,outside_interval,
2022-10-24,small-dog-apparel,1296.1088464405875,1672.0,1577.4804093865469,outside_interval,
