Region,Country,Store,SKU,date,quantity
APAC,Australia,Store11,Dermaglow,2020-09-01 00:00:00,84.0
APAC,Australia,Store12,Dermaglow,2020-09-01 00:00:00,154.0
APAC,Australia,Store11,Dermaglow,2020-09-02 00:00:00,117.0
APAC,Australia,Store11,Dermaglow,2020-09-03 00:00:00,95.0
APAC,Australia,Store11,Dermaglow,2020-09-06 00:00:00,115.0
APAC,Australia,Store11,Dermaglow,2020-09-08 00:00:00,123.0
APAC,Australia,Store11,Dermaglow,2020-09-09 00:00:00,147.0
APAC,Australia,Store11,Dermaglow,2020-09-10 00:00:00,143.0
APAC,Australia,Store11,Dermaglow,2020-09-11 00:00:00,185.0
APAC,Australia,Store11,Dermaglow,2020-09-12 00:00:00,127.0
APAC,Australia,Store11,Dermaglow,2020-09-14 00:00:00,122.0
APAC,Australia,Store11,Dermaglow,2020-09-15 00:00:00,128.0
APAC,Australia,Store11,Dermaglow,2020-09-17 00:00:00,122.0
APAC,Australia,Store11,Dermaglow,2020-09-19 00:00:00,128.0
APAC,Australia,Store11,Dermaglow,2020-09-20 00:00:00,99.0
APAC,Australia,Store11,Dermaglow,2020-09-21 00:00:00,128.0
APAC,Australia,Store11,Dermaglow,2020-09-23 00:00:00,121.0
APAC,Australia,Store11,Dermaglow,2020-09-24 00:00:00,198.0
APAC,Australia,Store11,Dermaglow,2020-09-25 00:00:00,87.0
APAC,Australia,Store11,Dermaglow,2020-09-28 00:00:00,119.0
APAC,Australia,Store11,Dermaglow,2020-09-29 00:00:00,100.0
APAC,Australia,Store11,Dermaglow,2020-09-30 00:00:00,160.0
APAC,Australia,Store11,Dermaglow,2020-10-01 00:00:00,174.0
APAC,Australia,Store11,Dermaglow,2020-10-02 00:00:00,141.0
APAC,Australia,Store11,Dermaglow,2020-10-03 00:00:00,147.0
APAC,Australia,Store11,Dermaglow,2020-10-04 00:00:00,140.0
APAC,Australia,Store11,Dermaglow,2020-10-05 00:00:00,155.0
APAC,Australia,Store11,Dermaglow,2020-10-06 00:00:00,99.0
APAC,Australia,Store11,Dermaglow,2020-10-07 00:00:00,106.0
APAC,Australia,Store11,Dermaglow,2020-10-08 00:00:00,132.0
APAC,Australia,Store11,Dermaglow,2020-10-09 00:00:00,168.0
APAC,Australia,Store11,Dermaglow,2020-10-10 00:00:00,117.0
APAC,Australia,Store11,Dermaglow,2020-10-12 00:00:00,147.0
APAC,Australia,Store11,Dermaglow,2020-10-13 00:00:00,155.0
APAC,Australia,Store11,Dermaglow,2020-10-14 00:00:00,155.0
APAC,Australia,Store11,Dermaglow,2020-10-15 00:00:00,183.0
APAC,Australia,Store11,Dermaglow,2020-10-16 00:00:00,141.0
APAC,Australia,Store11,Dermaglow,2020-10-18 00:00:00,136.0
APAC,Australia,Store11,Dermaglow,2020-10-19 00:00:00,132.0
APAC,Australia,Store11,Dermaglow,2020-10-20 00:00:00,150.0
APAC,Australia,Store11,Dermaglow,2020-10-21 00:00:00,187.0
APAC,Australia,Store11,Dermaglow,2020-10-22 00:00:00,206.0
APAC,Australia,Store11,Dermaglow,2020-10-23 00:00:00,155.0
APAC,Australia,Store11,Dermaglow,2020-10-24 00:00:00,137.0
APAC,Australia,Store11,Dermaglow,2020-10-25 00:00:00,125.0
APAC,Australia,Store11,Dermaglow,2020-10-27 00:00:00,182.0
APAC,Australia,Store11,Dermaglow,2020-10-28 00:00:00,161.0
APAC,Australia,Store11,Dermaglow,2020-10-29 00:00:00,162.0
APAC,Australia,Store11,Dermaglow,2020-10-30 00:00:00,163.0
APAC,Australia,Store11,Dermaglow,2020-10-31 00:00:00,135.0
APAC,Australia,Store11,Dermaglow,2020-11-01 00:00:00,84.0
APAC,Australia,Store11,Dermaglow,2020-11-02 00:00:00,180.0
APAC,Australia,Store11,Dermaglow,2020-11-03 00:00:00,157.0
APAC,Australia,Store11,Dermaglow,2020-11-04 00:00:00,85.0
APAC,Australia,Store11,Dermaglow,2020-11-05 00:00:00,164.0
APAC,Australia,Store11,Dermaglow,2020-11-06 00:00:00,181.0
