Date,SKU,decomposition,real/pred,prediction_type,Demand
2022-10-02,large-dog-apparel,pred,pred,upper_bound,1383.25981771837
2022-10-02,small-dog-apparel,pred,pred,predicted_value,1438.5899060037343
2022-10-02,large-dog-apparel,pred,pred,predicted_value,1258.255094701102
2022-10-02,small-dog-apparel,pred,pred,upper_bound,1575.3617922101112
2022-10-02,large-dog-apparel,pred,pred,lower_bound,1115.917150317317
2022-10-02,small-dog-apparel,pred,pred,lower_bound,1295.2389918616352
2022-10-02,dog-blue-harness,pred,pred,predicted_value,1784.3574417101734
2022-10-02,dog-blue-harness,pred,pred,upper_bound,1935.657728909969
2022-10-02,dog-blue-harness,pred,pred,lower_bound,1629.3878201386
2022-10-02,dog-safety-vest,pred,pred,lower_bound,1554.8252352314018
2022-10-02,dog-safety-vest,pred,pred,predicted_value,1715.9155544296275
2022-10-02,dog-safety-vest,pred,pred,upper_bound,1876.783735016096
2022-10-03,large-dog-apparel,pred,pred,predicted_value,1318.0288019049362
2022-10-03,small-dog-apparel,pred,pred,upper_bound,1602.2583446369608
2022-10-03,small-dog-apparel,pred,pred,predicted_value,1463.8710686293334
2022-10-03,small-dog-apparel,pred,pred,lower_bound,1332.1292603884356
2022-10-03,large-dog-apparel,pred,pred,upper_bound,1462.6797315241524
2022-10-03,large-dog-apparel,pred,pred,lower_bound,1169.7965352254769
2022-10-03,dog-blue-harness,pred,pred,lower_bound,1727.3375787224054
2022-10-03,dog-blue-harness,pred,pred,predicted_value,1870.7265180498275
2022-10-03,dog-blue-harness,pred,pred,upper_bound,2015.049422777141
2022-10-03,dog-safety-vest,pred,pred,lower_bound,1649.4340289693566
2022-10-03,dog-safety-vest,pred,pred,predicted_value,1792.2582235054276
2022-10-03,dog-safety-vest,pred,pred,upper_bound,1936.2100097737125
2022-10-04,large-dog-apparel,pred,pred,lower_bound,1203.527066687688
2022-10-04,small-dog-apparel,pred,pred,upper_bound,1658.1788922143885
2022-10-04,small-dog-apparel,pred,pred,predicted_value,1521.4077756450297
2022-10-04,small-dog-apparel,pred,pred,lower_bound,1389.289113023628
2022-10-04,large-dog-apparel,pred,pred,upper_bound,1511.1082337017026
