Date,SKU,Demand,real/pred,decomposition,prediction_type,Dataset
2020-09-01 00:00:00,dog-blue-harness,1556.0,real,,,
2020-09-01 00:00:00,dog-safety-vest,1509.0,real,,,
2020-09-01 00:00:00,large-dog-apparel,1409.0,real,,,
2020-09-01 00:00:00,small-dog-apparel,1646.0,real,,,
2020-09-02 00:00:00,dog-blue-harness,1615.0,real,,,
2020-09-02 00:00:00,dog-safety-vest,1520.0,real,,,
2020-09-02 00:00:00,large-dog-apparel,1476.0,real,,,
2020-09-02 00:00:00,small-dog-apparel,1629.0,real,,,
2020-09-03 00:00:00,small-dog-apparel,1352.0,real,,,
2020-09-03 00:00:00,large-dog-apparel,1300.0,real,,,
2020-09-03 00:00:00,dog-blue-harness,1661.0,real,,,
2020-09-03 00:00:00,dog-safety-vest,1332.0,real,,,
2020-09-04 00:00:00,dog-blue-harness,1640.0,real,,,
2020-09-04 00:00:00,dog-safety-vest,1256.0,real,,,
2020-09-04 00:00:00,large-dog-apparel,1599.0,real,,,
2020-09-04 00:00:00,small-dog-apparel,1585.0,real,,,
2020-09-05 00:00:00,small-dog-apparel,1319.0,real,,,
2020-09-05 00:00:00,large-dog-apparel,1472.0,real,,,
2020-09-05 00:00:00,dog-blue-harness,1714.0,real,,,
2020-09-05 00:00:00,dog-safety-vest,1306.0,real,,,
2020-09-06 00:00:00,dog-blue-harness,1640.0,real,,,
2020-09-06 00:00:00,dog-safety-vest,1541.0,real,,,
2020-09-06 00:00:00,large-dog-apparel,1386.0,real,,,
2020-09-06 00:00:00,small-dog-apparel,1534.0,real,,,
2020-09-07 00:00:00,dog-blue-harness,1667.0,real,,,
2020-09-07 00:00:00,dog-safety-vest,1321.0,real,,,
2020-09-07 00:00:00,large-dog-apparel,1146.0,real,,,
2020-09-07 00:00:00,small-dog-apparel,1442.0,real,,,
2020-09-08 00:00:00,small-dog-apparel,1521.0,real,,,
2020-09-08 00:00:00,dog-blue-harness,1681.0,real,,,
2020-09-08 00:00:00,dog-safety-vest,1619.0,real,,,
2020-09-08 00:00:00,large-dog-apparel,1539.0,real,,,
2020-09-09 00:00:00,small-dog-apparel,1703.0,real,,,
2020-09-09 00:00:00,large-dog-apparel,1543.0,real,,,
2020-09-09 00:00:00,dog-blue-harness,1777.0,real,,,
2020-09-09 00:00:00,dog-safety-vest,1542.0,real,,,
2020-09-10 00:00:00,dog-blue-harness,1960.0,real,,,
2020-09-10 00:00:00,dog-safety-vest,1649.0,real,,,
2020-09-10 00:00:00,large-dog-apparel,1402.0,real,,,
2020-09-10 00:00:00,small-dog-apparel,1561.0,real,,,
2020-09-11 00:00:00,dog-blue-harness,1753.0,real,,,
2020-09-11 00:00:00,dog-safety-vest,1456.0,real,,,
2020-09-11 00:00:00,large-dog-apparel,1424.0,real,,,
2020-09-11 00:00:00,small-dog-apparel,1596.0,real,,,
2020-09-12 00:00:00,dog-blue-harness,1582.0,real,,,
2020-09-12 00:00:00,dog-safety-vest,1106.0,real,,,
2020-09-12 00:00:00,large-dog-apparel,1385.0,real,,,
2020-09-12 00:00:00,small-dog-apparel,1398.0,real,,,
2020-09-13 00:00:00,small-dog-apparel,1437.0,real,,,
2020-09-13 00:00:00,large-dog-apparel,1510.0,real,,,
2020-09-13 00:00:00,dog-blue-harness,1392.0,real,,,
2020-09-13 00:00:00,dog-safety-vest,1419.0,real,,,
2020-09-14 00:00:00,dog-blue-harness,1806.0,real,,,
2020-09-14 00:00:00,dog-safety-vest,1561.0,real,,,
2020-09-14 00:00:00,large-dog-apparel,1534.0,real,,,
2020-09-14 00:00:00,small-dog-apparel,1530.0,real,,,
2020-09-15 00:00:00,large-dog-apparel,1212.0,real,,,
2020-09-15 00:00:00,dog-blue-harness,2022.0,real,,,
2020-09-15 00:00:00,dog-safety-vest,1631.0,real,,,
2020-09-15 00:00:00,small-dog-apparel,1376.0,real,,,
2020-09-16 00:00:00,dog-blue-harness,1597.0,real,,,
2020-09-16 00:00:00,dog-safety-vest,1513.0,real,,,
2020-09-16 00:00:00,large-dog-apparel,1431.0,real,,,
2020-09-16 00:00:00,small-dog-apparel,1507.0,real,,,
2020-09-17 00:00:00,dog-safety-vest,1525.0,real,,,
2020-09-17 00:00:00,large-dog-apparel,1545.0,real,,,
2020-09-17 00:00:00,dog-blue-harness,1806.0,real,,,
2020-09-17 00:00:00,small-dog-apparel,1493.0,real,,,
2020-09-18 00:00:00,small-dog-apparel,1424.0,real,,,
2020-09-18 00:00:00,large-dog-apparel,1522.0,real,,,
2020-09-18 00:00:00,dog-blue-harness,1519.0,real,,,
2020-09-18 00:00:00,dog-safety-vest,1517.0,real,,,
2020-09-19 00:00:00,dog-blue-harness,1636.0,real,,,
2020-09-19 00:00:00,dog-safety-vest,1089.0,real,,,
2020-09-19 00:00:00,large-dog-apparel,1393.0,real,,,
2020-09-19 00:00:00,small-dog-apparel,1429.0,real,,,
2020-09-20 00:00:00,dog-blue-harness,1466.0,real,,,
2020-09-20 00:00:00,dog-safety-vest,1073.0,real,,,
2020-09-20 00:00:00,large-dog-apparel,1285.0,real,,,
2020-09-20 00:00:00,small-dog-apparel,1403.0,real,,,
2020-09-21 00:00:00,dog-blue-harness,1674.0,real,,,
2020-09-21 00:00:00,dog-safety-vest,1572.0,real,,,
2020-09-21 00:00:00,large-dog-apparel,1497.0,real,,,
2020-09-21 00:00:00,small-dog-apparel,1391.0,real,,,
2020-09-22 00:00:00,small-dog-apparel,1650.0,real,,,
2020-09-22 00:00:00,large-dog-apparel,1259.0,real,,,
2020-09-22 00:00:00,dog-safety-vest,1571.0,real,,,
2020-09-22 00:00:00,dog-blue-harness,1497.0,real,,,
2020-09-23 00:00:00,small-dog-apparel,1571.0,real,,,
2020-09-23 00:00:00,large-dog-apparel,1465.0,real,,,
2020-09-23 00:00:00,dog-blue-harness,1838.0,real,,,
2020-09-23 00:00:00,dog-safety-vest,1604.0,real,,,
2020-09-24 00:00:00,dog-blue-harness,1774.0,real,,,
2020-09-24 00:00:00,dog-safety-vest,1351.0,real,,,
2020-09-24 00:00:00,large-dog-apparel,1288.0,real,,,
2020-09-24 00:00:00,small-dog-apparel,1704.0,real,,,
2020-09-25 00:00:00,small-dog-apparel,1599.0,real,,,
2020-09-25 00:00:00,dog-blue-harness,1495.0,real,,,
2020-09-25 00:00:00,dog-safety-vest,1190.0,real,,,
2020-09-25 00:00:00,large-dog-apparel,1582.0,real,,,
2020-09-26 00:00:00,large-dog-apparel,1295.0,real,,,
2020-09-26 00:00:00,small-dog-apparel,1326.0,real,,,
2020-09-26 00:00:00,dog-blue-harness,1629.0,real,,,
2020-09-26 00:00:00,dog-safety-vest,1228.0,real,,,
2020-09-27 00:00:00,small-dog-apparel,1423.0,real,,,
2020-09-27 00:00:00,large-dog-apparel,1268.0,real,,,
2020-09-27 00:00:00,dog-blue-harness,1280.0,real,,,
2020-09-27 00:00:00,dog-safety-vest,1118.0,real,,,
2020-09-28 00:00:00,dog-blue-harness,1835.0,real,,,
2020-09-28 00:00:00,dog-safety-vest,1436.0,real,,,
2020-09-28 00:00:00,large-dog-apparel,1574.0,real,,,
2020-09-28 00:00:00,small-dog-apparel,1396.0,real,,,
2020-09-29 00:00:00,dog-blue-harness,1449.0,real,,,
2020-09-29 00:00:00,dog-safety-vest,1672.0,real,,,
2020-09-29 00:00:00,large-dog-apparel,1672.0,real,,,
2020-09-29 00:00:00,small-dog-apparel,1646.0,real,,,
2020-09-30 00:00:00,small-dog-apparel,1521.0,real,,,
2020-09-30 00:00:00,dog-blue-harness,1702.0,real,,,
2020-09-30 00:00:00,dog-safety-vest,1549.0,real,,,
2020-09-30 00:00:00,large-dog-apparel,1648.0,real,,,
2020-10-01 00:00:00,small-dog-apparel,1405.0,real,,,
2020-10-01 00:00:00,large-dog-apparel,1505.0,real,,,
2020-10-01 00:00:00,dog-safety-vest,1583.0,real,,,
2020-10-01 00:00:00,dog-blue-harness,1945.0,real,,,
2020-10-02 00:00:00,dog-blue-harness,1576.0,real,,,
